nombre,tags,paso_a_paso
Egg Cream,"clasico, cremoso, refrescante","1) Llenar taza con hielo.
2) Agregar Jarabe de chocolate y Leche.
3) Completar con Agua con gas y mezclar suavemente."
Egg Nog #4,"clasico, cremoso","1) Agregar Yema de huevo, Azucar, Leche, Ron claro, Whiskey Bourbon, Crema para batir, Clara de huevo y Azucar a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en ponchera bien frio.
4) Decorar con Extracto de vainilla, Sal y Nuez moscada."
Egg Nog - Healthy,"clasico, cremoso","1) Agregar Huevo, Azucar, Leche condensada, Leche y Ron a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Extracto de vainilla y Nuez moscada."
Egg-Nog - Classic Cooked,"clasico, cremoso","1) Agregar Huevo, Azucar y Leche a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en jarra.
4) Decorar con Sal y Extracto de vainilla."
El Capitan,"amargo, clasico, peruano, pisco, rapido, vino","1) Agregar Pisco, Vermut rojo y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa coupe bien frio.
4) Decorar con Naranja."
Elderflower Caipirinha,"citrico, clasico","1) Agregar Cachaca y Cordial de flor de sauco a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Lima."
Empellón Cocina's Fat-Washed Mezcal,"clasico, mezcal","1) Agregar Mezcal, Licor de chocolate y Licor de cafe a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en beer glass bien frio."
English Highball,"clasico, gin, vino","1) Llenar vaso highball con hielo.
2) Agregar Brandy, Gin y Vermut dulce.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Cascara de limon."
English Rose Cocktail,"citrico, clasico, gin","1) Agregar Brandy de damasco, Gin, Vermut seco, Granadina y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Cereza marrasquino."
Esmeralda,"aperitivo, bar-top-chile, chileno-autor, clasico, siam-thai, top-bars","1) Llenar vaso alto con hielo.
2) Agregar Ron blanco, Licor de melon y Salmuera de alcaparron.
3) Completar con Soda y mezclar suavemente.
4) Decorar con Gomita de frutas y Albahaca."
Espresso Martini,"clasico, martini","1) Agregar Vodka, Kahlua y Jarabe simple a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Espresso Rumtini,"cafe, clasico","1) Agregar Ron, Jarabe de vainilla, Cafe y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Fahrenheit 5000,clasico,"1) Agregar Aguardiente y Vodka Pepper a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.
4) Decorar con Tabasco sauce."
Fernet con coca,"amargo, argentino, clasico, rapido","1) Llenar vaso highball con hielo.
2) Agregar Fernet.
3) Completar con Coca-Cola y mezclar suavemente."
Figgy Thyme,"amargo, clasico","1) Llenar vaso collins con hielo.
2) Agregar Vodka, Miel, Higos y Amargo de angostura.
3) Completar con Agua tonica y mezclar suavemente.
4) Decorar con Tomillo."
Final Ward,"citrico, last-word-family, moderno, top-bars","1) Agregar Whisky de centeno, Green Chartreuse, Licor de maraschino y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
Flaming Dr. Pepper,clasico,"1) Agregar Amaretto, Vodka, Ron 151 grados, Dr. Pepper y Cerveza a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio."
Flaming Lamborghini,clasico,"1) Agregar Kahlua, Sambuca, Curacao azul y Baileys crema irlandesa a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Flander's Flake-Out,clasico,"1) Agregar Sambuca y Sarsaparilla a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Flying Dutchman,"clasico, gin","1) Agregar Gin y Triple sec a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
Flying Scotchman,"amargo, clasico, vino","1) Agregar Whisky escoces, Vermut dulce, Amargo de angostura y Jarabe simple a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
