nombre,tags,paso_a_paso
Masala Chai,"clasico, cremoso, refrescante","1) Agregar Agua, Te, Azucar y Leche a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Ginger, Cardamomo, Clavos de olor, Canela y Pimienta."
Mauresque,clasico,"1) Agregar Ricard, Jarabe de horchata y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Mel?n con vino,"chileno, clasico, frutal, verano, vino","1) Agregar Melon tuna, Vino blanco y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en melon ahuecado.
4) Decorar con Platano y Frutillas."
Melya,"cafe, clasico, refrescante","1) Agregar Cafe y Miel a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Cacao en polvo."
Miami Vice,clasico,"1) Agregar Ron 151 grados, Pina colada mix y Daiquiri mix a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Michelada,"citrico, clasico","1) Agregar Cerveza, Jugo de tomate y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pinta.
4) Decorar con Salsa picante, Salsa Worcestershire y Salsa de soya."
Midnight Mint,clasico,"1) Agregar Baileys crema irlandesa, Crema de menta blanca y Crema a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Mimosa,"citrico, clasico, espumante","1) Agregar Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en copa flauta y completar con Champagne."
Mint Julep,clasico,"1) Agregar Menta, Whiskey Bourbon, Azucar flor y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Mocha-Berry,"cafe, clasico","1) Agregar Cafe, Chambord raspberry liqueur y Crema batida a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Cacao en polvo."
Mojito,"citrico, clasico, mojito","1) Agregar Menta, Azucar y Lima al vaso y macerar suavemente.
2) Incorporar Ron claro y hielo a gusto.
3) Completar con Agua con gas, mezclar suavemente y servir en vaso highball."
Mojito Extra,"amargo, citrico, clasico, mojito","1) Agregar Menta y Jugo de limon al vaso y macerar suavemente.
2) Incorporar Ron oscuro y Amargo de angostura y hielo a gusto.
3) Completar con Agua tonica, mezclar suavemente y servir en vaso collins."
Mojito Mekong,"amargo, bar-top-chile, chileno-autor, citrico, clasico, mojito, siam-thai, top-bars","1) Agregar Syrup especiado y Jugo de limon al vaso y macerar suavemente.
2) Incorporar Ron oscuro, Jengibre y Amargo de angostura y hielo a gusto.
3) Completar con Soda, mezclar suavemente y servir en vaso alto.
4) Decorar con Menta, Aji y Deshidratado de naranja."
Monkey Gland,"citrico, clasico, gin","1) Agregar Gin, Benedictine, Jugo de naranja y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Monkey Wrench,"amargo, citrico, clasico","1) Agregar Ron claro, Jugo de pomelo y Amargo de angostura a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Moranguito,"clasico, tequila","1) Agregar Absenta, Tequila y Granadina a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Moscow Mule,"citrico, clasico, gin, mule","1) Llenar vaso highball con hielo.
2) Agregar Vodka y Jugo de lima.
3) Completar con Ginger ale y mezclar suavemente."
Mudslinger,"citrico, clasico","1) Llenar ponchera con hielo.
2) Agregar Southern Comfort y Jugo de naranja.
3) Completar con Coca-Cola y mezclar suavemente."
Mulled Wine,"clasico, vino","1) Agregar Agua, Azucar, Vino tinto y Brandy a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Clavos de olor, Canela y Cascara de limon."
Munich Mule,"citrico, clasico, gin, mule","1) Llenar vaso highball con hielo.
2) Agregar Gin, Jugo de lima, Pepino y Limon.
3) Completar con Cerveza de jengibre y mezclar suavemente."
Naked and Famous,"amargo, citrico, mezcal, moderno, top-bars","1) Agregar Mezcal, Aperol, Yellow Chartreuse y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
National Aquarium,"clasico, gin","1) Llenar vaso collins con hielo.
2) Agregar Ron, Vodka, Gin, Curacao azul y Mezcla sour.
3) Completar con Bebida lima-limon y mezclar suavemente."
Negroni,"amargo, campari, clasico, gin, negroni, vino","1) Agregar Gin, Campari y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
Negroni Sbagliato,"amargo, aperitivo, campari, clasico, espumante, gin, italiano, negroni, rapido, vino","1) Agregar Campari, Vermut rojo y Prosecco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso bajo bien frio.
4) Decorar con Naranja."
New York Lemonade,"citrico, clasico","1) Llenar copa de coctel con hielo.
2) Agregar Vodka Citron, Grand Marnier y Jugo de limon.
3) Completar con Agua tonica y mezclar suavemente."
New York Sour,"citrico, clasico, sour, vino","1) Agregar Whisky mezclado, Limon, Azucar, Vino tinto y Limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Cereza marrasquino."
Nuked Hot Chocolate,"clasico, cremoso, refrescante","1) Agregar Azucar y Leche a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Cacao en polvo y Extracto de vainilla."
Nutty Irishman,"clasico, cremoso","1) Agregar Baileys crema irlandesa, Frangelico y Leche a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio."
Oatmeal Cookie,clasico,"1) Agregar Kahlua, Baileys crema irlandesa, Schnapps de caramelo, Jägermeister y Goldschlager a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en frasco mason bien frio."
Oaxaca Old Fashioned,"amargo, mezcal, moderno, old-fashioned, rapido, tequila, top-bars","1) Agregar Jarabe de agave y Amargo de angostura al vaso y mezclar hasta integrar.
2) Incorporar Tequila y Mezcal y hielo a gusto.
3) Revolver suavemente y servir en vaso bajo.
4) Decorar con Naranja."
Old Cuban,"amargo, citrico, clasico, espumante","1) Agregar Ron blanco, Jarabe simple, Jugo de lima y Amargo de angostura a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en copa de coctel y completar con Prosecco."
Old Fashioned,"amargo, clasico, old-fashioned","1) Agregar Azucar y Amargo de angostura al vaso y mezclar hasta integrar.
2) Incorporar Whiskey Bourbon y Agua y hielo a gusto.
3) Revolver suavemente y servir en vaso old fashioned."
Old Pal,"amargo, campari, clasico","1) Agregar Whisky de centeno, Campari y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Orange Crush,"citrico, clasico","1) Agregar Vodka, Triple sec y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso de shot."
Orange Oasis,"citrico, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Brandy de cereza, Gin y Jugo de naranja.
3) Completar con Ginger ale y mezclar suavemente."
Orange Push-up,"citrico, clasico","1) Agregar Ron especiado, Granadina, Jugo de naranja y Mezcla sour a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa hurricane."
Orange Rosemary Collins,"citrico, clasico, gin","1) Agregar Gin, Jugo de naranja, Jugo de limon, Jarabe de romero y Romero a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas.
4) Decorar con Cascara de naranja."
Orange Scented Hot Chocolate,"cafe, clasico, cremoso, refrescante","1) Agregar Leche y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Chocolate, Cascara de naranja y Nuez moscada."
Orange Whip,"citrico, clasico","1) Agregar Jugo de naranja, Ron, Vodka y Crema a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Orangeade,"citrico, clasico, refrescante","1) Llenar vaso highball con hielo.
2) Agregar Jugo de limon, Jugo de naranja y Jarabe simple.
3) Completar con Agua con gas y mezclar suavemente."
Oreo Mudslide,clasico,"1) Agregar Vodka, Kahlua, Baileys crema irlandesa y Helado de vainilla a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio.
4) Decorar con Oreo cookie."
Orgasm,clasico,"1) Agregar Crema de cacao, Amaretto, Triple sec, Vodka y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Owen's Grandmother's Revenge,clasico,"1) Agregar Whisky, Cerveza y Limonada a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Paloma,"clasico, tequila","1) Llenar vaso collins con hielo.
2) Agregar Tequila.
3) Completar con Bebida de uva y mezclar suavemente."
Paper Plane,"amargo, citrico, estadounidense, moderno","1) Agregar Whiskey Bourbon, Aperol, Amaro Nonino y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
Paradise,"citrico, clasico, gin","1) Agregar Gin, Brandy de damasco y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Passion Fruit Martini,"citrico, clasico, frutal, martini","1) Agregar Vodka, Jarabe simple y Jugo de maracuya a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Pegu Club,"amargo, citrico, clasico, gin","1) Agregar Gin, Curacao naranja, Jugo de lima, Amargo de angostura y Amargo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Penicillin,"citrico, clasico","1) Agregar Scotch mezclado, Jugo de limon, Jarabe de miel, Jarabe de jengibre y Scotch single malt a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Pichuncho,"amargo, bar-top-chile, chileno, clasico, pisco, rapido, top-bars, vino","1) Agregar Pisco, Vermut rojo y Araucano a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Pimm's Cup,"clasico, ingles, rapido, refrescante, verano","1) Agregar Pimm's No. 1 y Limonada a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Pepino, Menta y Frutillas."
Pina Colada,"clasico, cremoso, tiki","1) Agregar Ron claro, Leche de coco y Pina a una licuadora.
2) Agregar hielo a gusto y licuar hasta obtener una mezcla homogenea.
3) Servir en vaso collins."
Pineapple Gingerale Smoothie,"clasico, gin, refrescante","1) Agregar Pina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Ginger."
Pineapple Paloma,"citrico, clasico, tequila","1) Agregar Tequila, Jugo de pomelo, Jugo de lima, Jugo de piña y Lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Pimienta."
Pink Gin,"amargo, clasico, gin","1) Agregar Amargo de angostura y Gin a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de vino blanco bien frio."
Pink Lady,"clasico, cremoso, gin","1) Agregar Gin, Granadina, Crema ligera y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Pink Moon,"citrico, clasico, gin","1) Agregar Gin, Licor de coco, Cordial de flor de sauco, Jugo de lima y Moras a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en whiskey glass."
Pink Panty Pulldowns,clasico,"1) Agregar Sprite, Limonada y Vodka a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Pink Penocha,"citrico, clasico","1) Agregar Everclear, Vodka, Schnapps de durazno, Jugo de naranja y Jugo de arandano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en ponchera."
Pisco in the Air,"bar-top-chile, chileno, citrico, clasico, frutal, pisco, top-bars","1) Agregar Pisco, Jugo de lima, Papaya, Frambuesa y Jarabe simple a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe.
4) Decorar con Albahaca."
Pisco Martini,"bar-top-chile, chileno, clasico, martini, pisco, rapido, top-bars","1) Agregar Pisco y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa martini bien frio.
4) Decorar con Salmuera de aceituna y Aceituna."
Pisco Negroni,"amargo, bar-top-chile, campari, chileno, clasico, gin, negroni, pisco, rapido, top-bars, vino","1) Agregar Pisco, Vermut rojo y Campari a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso bajo bien frio."
Pisco Sour,"citrico, clasico, cremoso, pisco, sour","1) Agregar Pisco, Jugo de limon, Azucar y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Piscola,"chileno, clasico, pisco, rapido, verano","1) Llenar vaso highball con hielo.
2) Agregar Pisco.
3) Completar con Coca-Cola y mezclar suavemente.
4) Decorar con Limon."
Pistón,"bar-top-chile, chileno, clasico, highball, pisco, rapido, top-bars","1) Llenar vaso highball con hielo.
2) Agregar Pisco.
3) Completar con Agua tonica y mezclar suavemente."
Planter's Punch,"citrico, clasico","1) Agregar Ron oscuro, Jarabe de horchata, Jugo de naranja y Jugo de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Planter’s Punch,"amargo, citrico, clasico","1) Agregar Ron oscuro, Jugo de naranja, Jugo de piña, Granadina, Jarabe simple y Amargo de angostura a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Poncha,"citrico, clasico","1) Agregar Ron blanco, Miel, Jugo de limon y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.
4) Decorar con Naranja."
Ponche a la romana,"chileno, clasico, espumante, verano","1) Agregar Champagne y Helado de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta."
Popped cherry,"citrico, clasico","1) Agregar Vodka, Licor de cereza, Jugo de arandano y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Poppy Cocktail,"clasico, gin","1) Agregar Gin y Crema de cacao a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Pornstar Martini,"citrico, clasico, espumante, frutal, martini","1) Agregar Vodka, Passoa, Jugo de maracuya, Lima y Prosecco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Port And Starboard,clasico,"1) Agregar Granadina y Crema de menta verde a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa pousse cafe."
Port Wine Cocktail,clasico,"1) Agregar Oporto y Brandy a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Port Wine Flip,clasico,"1) Agregar Oporto, Crema ligera, Azucar flor y Huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Nuez moscada."
Porto flip,clasico,"1) Agregar Brandy, Oporto y Yema de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Pure Passion,"citrico, clasico","1) Agregar Ron, Passoa, Jugo de lima, Jarabe de maracuya, Amargo de durazno y Menta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour."
Pysch Vitamin Light,"citrico, clasico, refrescante","1) Agregar Jugo de naranja, Jugo de manzana y Jugo de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Quaker's Cocktail,"citrico, clasico","1) Agregar Ron claro, Brandy, Limon y Jarabe de frambuesa a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Quarter Deck Cocktail,"citrico, clasico, vino","1) Agregar Ron claro, Jerez y Lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Queen Bee,"clasico, vino","1) Agregar Brandy de cafe, Vodka de lima y Jerez a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Queen Charlotte,"clasico, vino","1) Llenar vaso collins con hielo.
2) Agregar Vino tinto y Granadina.
3) Completar con Bebida lima-limon y mezclar suavemente."
Queen Elizabeth,"clasico, gin","1) Agregar Vermut seco, Gin y Benedictine a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Quentin,clasico,"1) Agregar Ron oscuro, Kahlua y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Nuez moscada."
Quick F**K,clasico,"1) Agregar Kahlua, Licor de melon y Baileys crema irlandesa a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Quick-sand,"citrico, clasico","1) Agregar Sambuca negra y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Radioactive Long Island Iced Tea,"clasico, gin, tequila","1) Agregar Ron, Vodka, Tequila, Gin, Triple sec, Chambord raspberry liqueur, Licor de melon y Ron Malibu a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio."
Radler,clasico,"1) Agregar Cerveza y 7-Up a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza."
Rail Splitter,"citrico, clasico, gin, refrescante","1) Llenar vaso highball con hielo.
2) Agregar Jarabe simple y Jugo de limon.
3) Completar con Ginger ale y mezclar suavemente."
Ramos Gin Fizz,"citrico, clasico, cremoso, gin","1) Agregar Gin, Jugo de limon, Jarabe simple, Crema y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas.
4) Decorar con Extracto de vainilla."
Raspberry Cooler,clasico,"1) Llenar vaso highball con hielo.
2) Agregar Vodka de frambuesa.
3) Completar con Bebida lima-limon y mezclar suavemente."
Raspberry Julep,clasico,"1) Agregar Whiskey Bourbon, Jarabe de frambuesa y Menta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en cordial glass."
Rebujito,"clasico, espanol, jerez, rapido, refrescante, vino","1) Llenar vaso corto con hielo.
2) Agregar Manzanilla.
3) Completar con Bebida lima-limon y mezclar suavemente.
4) Decorar con Menta."
Red Snapper,"citrico, clasico","1) Agregar Crown Royal, Amaretto y Jugo de arandano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Rose,"citrico, clasico, gin","1) Agregar Vermut seco, Gin, Brandy de damasco, Jugo de limon, Granadina y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Rosemary Blue,"clasico, gin","1) Llenar copa balón con hielo.
2) Agregar Gin, Curacao azul y Romero.
3) Completar con Agua tonica y mezclar suavemente."
Rossini,"aperitivo, clasico, espumante, frutal, italiano","1) Agregar Frutillas y Prosecco a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta."
Royal Bitch,clasico,"1) Agregar Frangelico y Crown Royal a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Royal Fizz,"clasico, gin","1) Agregar Gin, Mezcla agridulce y Huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso collins y completar con Coca-Cola."
Royal Flush,"citrico, clasico","1) Agregar Crown Royal, Schnapps de durazno, Chambord raspberry liqueur y Jugo de arandano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Royal Gin Fizz,"citrico, clasico, gin","1) Agregar Gin, Limon, Azucar flor y Huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas."
Ruby Tuesday,"citrico, clasico, gin","1) Agregar Gin, Jugo de arandano y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Rum Cobbler,"citrico, clasico","1) Llenar vaso old fashioned con hielo.
2) Agregar Azucar y Ron oscuro.
3) Completar con Agua tonica y mezclar suavemente.
4) Decorar con Limon, Cereza marrasquino y Naranja."
Rum Cooler,"citrico, clasico","1) Llenar vaso collins con hielo.
2) Agregar Ron.
3) Completar con Bebida lima-limon y mezclar suavemente.
4) Decorar con Limon."
Rum Milk Punch,"clasico, cremoso","1) Agregar Ron claro, Leche y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Nuez moscada."
Rum Old-fashioned,"amargo, clasico","1) Agregar Azucar flor y Amargo de angostura al vaso y mezclar hasta integrar.
2) Incorporar Ron claro, Ron 151 grados y Agua y hielo a gusto.
3) Revolver suavemente y servir en vaso old fashioned.
4) Decorar con Cascara de lima."
Rum Punch,"citrico, clasico, gin","1) Llenar ponchera con hielo.
2) Agregar Ron, Ponche de frutas y Jugo de naranja.
3) Completar con Ginger ale y mezclar suavemente."
Rum Runner,"citrico, clasico","1) Agregar Ron Malibu, Brandy de mora, Jugo de naranja, Jugo de piña y Jugo de arandano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Rum Screwdriver,"citrico, clasico","1) Agregar Ron claro y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Rum Sour,"citrico, clasico, sour","1) Agregar Ron claro, Jugo de limon y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Naranja y Cereza marrasquino."
Rum Toddy,clasico,"1) Agregar Ron, Azucar flor y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Cascara de limon."
Russian Spring Punch,"citrico, clasico","1) Agregar Vodka, Crema de cassis, Jarabe simple y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Rusty Nail,clasico,"1) Agregar Whisky escoces y Drambuie a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio.
4) Decorar con Cascara de limon."
Salty Dog,"citrico, clasico, gin","1) Agregar Jugo de pomelo y Gin a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Sal."
San Francisco,"citrico, clasico","1) Agregar Vodka, Crema de banana, Granadina y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Sangria,"citrico, clasico, vino","1) Agregar Vino tinto, Azucar, Jugo de naranja y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en jarra.
4) Decorar con Clavos de olor y Canela."
Sazerac,clasico,"1) Agregar Ricard, Azucar, Amargo Peychaud, Agua y Whiskey Bourbon a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio.
4) Decorar con Cascara de limon."
Scooter,clasico,"1) Agregar Brandy, Amaretto y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Scotch Sour,"citrico, clasico, sour","1) Agregar Whisky escoces, Lima y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Limon y Cereza marrasquino."
Screwdriver,"citrico, clasico","1) Agregar Vodka y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Sea breeze,"citrico, clasico","1) Agregar Vodka, Jugo de arandano y Jugo de pomelo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Shark Attack,clasico,"1) Agregar Limonada, Agua y Vodka a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en jarra."
Sherry Eggnog,"clasico, cremoso, vino","1) Agregar Jerez, Azucar flor, Huevo y Leche a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Nuez moscada."
Sherry Flip,"clasico, vino","1) Agregar Jerez, Crema ligera, Azucar flor y Huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en nick and nora glass.
4) Decorar con Nuez moscada."
Shot-gun,clasico,"1) Agregar Jim Beam, Jack Daniels y Wild Turkey a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Sidecar,"citrico, clasico","1) Agregar Cognac, Cointreau y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Siesta,"amargo, campari, citrico, moderno, tequila, top-bars","1) Agregar Tequila, Campari, Jugo de limon, Jugo de pomelo y Jarabe simple a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
Smut,"citrico, clasico, vino","1) Llenar jarro cervecero con hielo.
2) Agregar Vino tinto, Schnapps de durazno y Jugo de naranja.
3) Completar con Coca-Cola y mezclar suavemente."
Snowball,"citrico, clasico","1) Agregar Advocaat y Limonada a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Limon."
Snowday,"amargo, clasico","1) Agregar Vodka, Amaro Montenegro, Oporto rubi, Naranja sanguina y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio.
4) Decorar con Cascara de naranja."
